Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.962315042,0,0,1,0
0.962315167,1,0,0,0
0.962315292,1,0,1,0
0.962315417,0,0,0,0
0.962315542,0,0,1,0
0.962315667,0,1,0,0
0.962315792,0,1,1,0
0.962315917,1,1,0,0
0.962316042,1,1,1,0
0.962316167,1,1,0,0
0.962316292,1,1,1,0
0.962316417,1,1,0,0
0.962316458,1,0,0,0
0.962316542,1,0,1,0
0.962316667,0,0,0,0
0.962338375,0,0,1,0
0.962338500,1,0,0,0
0.962338625,1,0,1,0
0.962338750,1,0,0,0
0.962338875,1,0,1,0
0.962339042,1,0,0,0
0.962339167,1,0,1,0
0.962339292,0,0,0,0
0.962339417,0,0,1,0
0.962339542,0,0,0,0
0.962339667,0,0,1,0
0.962339792,0,0,0,0
0.962339917,0,0,1,0
0.962340042,0,0,0,0
0.962340167,0,0,1,0
0.962340292,0,0,0,0
